tournament results

{'sizes': [2, 4, 6, 8, 10], 'best_fitness_avg': [2.225, -17.825, -18.875, -20.175, -20.475]}

|    |   sizes |   best_fitness_avg |
|----|---------|--------------------|
|  4 |      10 |            -20.475 |
|  3 |       8 |            -20.175 |
|  2 |       6 |            -18.875 |
|  1 |       4 |            -17.825 |
|  0 |       2 |              2.225 |


tournament results part 2

{'sizes': [7, 8, 9, 10, 11], 'best_fitness_avg': [-19.925, -20.325, -20.675, -20.65, -20.675]}

|    |   sizes |   best_fitness_avg |
|----|---------|--------------------|
|  2 |       9 |            -20.675 |
|  4 |      11 |            -20.675 |
|  3 |      10 |            -20.65  |
|  1 |       8 |            -20.325 |
|  0 |       7 |            -19.925 |


double tournament switch testing results

{'t_size': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6], 'deaths_t_size': [2, 2, 2, 2, 4, 4, 4, 4, 6, 6, 6, 6, 2, 2, 2, 2, 4, 4, 4, 4, 6, 6, 6, 6, 2, 2, 2, 2, 4, 4, 4, 4, 6, 6, 6, 6], 'queens_t_size': [2, 2, 4, 6, 2, 4, 4, 6, 2, 4, 6, 6, 2, 2, 4, 6, 2, 4, 4, 6, 2, 4, 6, 6, 2, 2, 4, 6, 2, 4, 4, 6, 2, 4, 6, 6], 'switch': [True, False, True, True, False, True, False, True, False, False, True, False, True, False, True, True, False, True, False, True, False, False, True, False, True, False, True, True, False, True, False, True, False, False, True, False], 'best_fitness_avg': [908.3333333333334, 81.58333333333333, 906.6666666666666, 908.3333333333334, 523.25, 888.3333333333334, 905.0, 844.1666666666666, 681.8333333333334, 892.5, 633.5833333333334, 923.3333333333334, 906.6666666666666, -14.416666666666666, 892.5, 899.1666666666666, -7.5, 903.3333333333334, 36.833333333333336, 916.6666666666666, -3.1666666666666665, 163.75, 894.1666666666666, 532.8333333333334, 918.3333333333334, -18.916666666666668, 895.0, 909.1666666666666, -17.416666666666668, 916.6666666666666, 4.833333333333333, 904.1666666666666, -17.333333333333332, 14.25, 912.5, 31.25]}

|    |   t_size |   deaths_t_size |   queens_t_size | switch   |   best_fitness_avg |
| 46 |        8 |               4 |               2 | False    |        -19.5       |
| 51 |        8 |               8 |               2 | False    |        -19.5       |
| 30 |        6 |               2 |               2 | False    |        -18.6667    |
| 55 |        8 |              10 |               2 | False    |        -18.6667    |
| 45 |        8 |               2 |               2 | False    |        -18.3333    |
| 40 |        6 |              10 |               2 | False    |        -17.75      |
| 31 |        6 |               4 |               2 | False    |        -17.6667    |
| 36 |        6 |               8 |               2 | False    |        -16.5       |
| 33 |        6 |               6 |               2 | False    |        -16.5       |
| 62 |       10 |               4 |               4 | False    |        -16.25      |
| 15 |        4 |               2 |               2 | False    |        -16.0833    |
| 64 |       10 |               6 |               4 | False    |        -13.5833    |
| 47 |        8 |               4 |               4 | False    |        -12.0833    |
| 67 |       10 |               8 |               4 | False    |         -8.16667   |
| 16 |        4 |               4 |               2 | False    |         -5         |
| 71 |       10 |              10 |               4 | False    |         -3.66667   |
| 18 |        4 |               6 |               2 | False    |         -2.75      |
| 65 |       10 |               6 |               6 | False    |         -1.5       |
| 49 |        8 |               6 |               4 | False    |         -1.41667   |
| 21 |        4 |               8 |               2 | False    |          0         |
| 52 |        8 |               8 |               4 | False    |          0.0833333 |
| 32 |        6 |               4 |               4 | False    |          3.83333   |
| 25 |        4 |              10 |               2 | False    |          5.5       |
| 56 |        8 |              10 |               4 | False    |          5.58333   |
| 68 |       10 |               8 |               6 | False    |          5.91667   |
| 72 |       10 |              10 |               6 | False    |          8.75      |
| 69 |       10 |               8 |               8 | False    |         12.9167    |
| 50 |        8 |               6 |               6 | False    |         12.9167    |
| 34 |        6 |               6 |               4 | False    |         14.75      |
| 73 |       10 |              10 |               8 | False    |         15.3333    |
| 53 |        8 |               8 |               6 | False    |         16.75      |
| 37 |        6 |               8 |               4 | False    |         18.5       |
| 41 |        6 |              10 |               4 | False    |         18.8333    |
| 74 |       10 |              10 |              10 | False    |         21.4167    |
| 57 |        8 |              10 |               6 | False    |         21.8333    |
| 54 |        8 |               8 |               8 | False    |         24.6667    |
| 35 |        6 |               6 |               6 | False    |         27.6667    |
| 58 |        8 |              10 |               8 | False    |         28.0833    |
| 59 |        8 |              10 |              10 | False    |         33.4167    |
| 38 |        6 |               8 |               6 | False    |         33.6667    |
